,Embedding size,Entropy,Expected length
0,300,5.948184072464597,8.74045053868749
1,350,6.60029862010118,8.74045053868749
2,400,7.042012151287714,8.74045053868749
3,450,7.332787885587803,8.74045053868749
4,500,7.608670748201772,8.74045053868749
5,550,7.863200925970825,8.74045053868749
6,600,8.064928389302457,8.74045053868749
7,650,8.183484857841796,8.74045053868749
8,700,8.319207547274106,8.74045053868749
9,750,8.443872085700892,8.74045053868749
10,800,8.599476808741406,8.74045053868749
11,850,8.725134592034184,8.74045053868749
12,900,8.736424944286915,8.74045053868749
13,1000,8.715856392253713,8.74045053868749
